"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Itk",0,0.833004195895354,0.483,0,0,"11","Itk"
"Epsti1",0,0.818734426654476,0.483,0,0,"11","Epsti1"
"Cd28",0,0.807470323883621,0.31,0,0,"11","Cd28"
"Cd3e",0,0.790247082902676,0.31,0,0,"11","Cd3e"
"Stap1",0,0.789666292652696,0.31,0,0,"11","Stap1"
"Gimap7",0,0.787723218401327,0.379,0,0,"11","Gimap7"
"Lef1",0,0.787260119123501,0.276,0,0,"11","Lef1"
"Spn",0,0.786904608584637,0.31,0,0,"11","Spn"
"Mir142hg",0,0.784738413078007,0.345,0,0,"11","Mir142hg"
"Acp5",0,0.764075674013539,0.483,0.001,0,"11","Acp5"
"Rasgrp1",0,0.753810384390522,0.379,0,0,"11","Rasgrp1"
"Arhgap30",0,0.75119678416655,0.517,0,0,"11","Arhgap30"
"Myo1g",0,0.731311117844262,0.276,0,0,"11","Myo1g"
"Sema4a",0,0.720848361247338,0.483,0.001,0,"11","Sema4a"
"Lcp2",0,0.712689458318584,0.414,0,0,"11","Lcp2"
"Tagap",0,0.696556950338625,0.379,0,0,"11","Tagap"
"Ptk2b",0,0.693116466520269,0.414,0.001,0,"11","Ptk2b"
"Ipcef1",0,0.685760629228912,0.448,0,0,"11","Ipcef1"
"Gpr65",0,0.668421967935663,0.345,0,0,"11","Gpr65"
"Napsa",0,0.662707016387612,0.276,0,0,"11","Napsa"
"Cd244",0,0.652109765821772,0.345,0,0,"11","Cd244"
"Glipr1",0,0.649642647012277,0.345,0,0,"11","Glipr1"
"Cst7",0,0.640657813836039,0.276,0,0,"11","Cst7"
"Il18r1",0,0.629706826433109,0.31,0,0,"11","Il18r1"
"Fam105a",0,0.617377668507313,0.414,0,0,"11","Fam105a"
"Ifng",0,0.603211850236952,0.276,0,0,"11","Ifng"
"Prkcb",0,0.596221376486378,0.379,0.001,0,"11","Prkcb"
"Ncf4",0,0.59020041974583,0.345,0,0,"11","Ncf4"
"AB124611",0,0.585422140690409,0.276,0.001,0,"11","AB124611"
"Myo1f",0,0.582770620337298,0.31,0,0,"11","Myo1f"
"Ikzf3",0,0.56580647183841,0.379,0,0,"11","Ikzf3"
"Gm19585",0,0.565463378828052,0.31,0,0,"11","Gm19585"
"Bcl11b",0,0.554507331118326,0.276,0,0,"11","Bcl11b"
"Gm26740",0,0.54068892942945,0.345,0,0,"11","Gm26740"
"Was",0,0.537945568148241,0.379,0.001,0,"11","Was"
"Kif21b",0,0.534978057967519,0.31,0,0,"11","Kif21b"
"Arhgap4",0,0.50278188590175,0.345,0,0,"11","Arhgap4"
"Pglyrp2",0,0.484099112632614,0.276,0,0,"11","Pglyrp2"
"Jakmip1",0,0.464121621173892,0.276,0,0,"11","Jakmip1"
"Rasal3",0,0.461333051737029,0.31,0,0,"11","Rasal3"
"Dennd1c",0,0.444249628136531,0.276,0,0,"11","Dennd1c"
"Bcl2a1d",0,0.431836763951181,0.276,0,0,"11","Bcl2a1d"
"Nckap1l",0,0.419420726429613,0.276,0,0,"11","Nckap1l"
"Cd226",0,0.415315286763827,0.31,0,0,"11","Cd226"
"Traf3ip3",0,0.399914029747527,0.276,0,0,"11","Traf3ip3"
"Atp8b4",0,0.384261245410335,0.276,0,0,"11","Atp8b4"
"Dok2",2.20595463355362e-301,0.566418413004325,0.31,0.001,3.65879635521203e-297,"11","Dok2"
"Cotl1",9.92753851822434e-298,1.44516212417969,0.759,0.009,1.64658153863269e-293,"11","Cotl1"
"Lsp11",6.20791361659388e-285,1.62977765408936,0.759,0.01,1.02964455244826e-280,"11","Lsp1"
"Pstpip1",1.68210535587465e-283,0.505511875531671,0.31,0.001,2.78993994325369e-279,"11","Pstpip1"
"Ramp11",1.49442876069266e-282,0.919697540072813,0.517,0.004,2.47865954248485e-278,"11","Ramp1"
"Plek",5.8979998813624e-276,1.2758131073566,0.414,0.002,9.78242260322767e-272,"11","Plek"
"Runx11",1.04692689622528e-275,0.753730075034833,0.483,0.004,1.73643295007925e-271,"11","Runx1"
"Tspan321",3.51124499827129e-272,0.461929685995041,0.276,0.001,5.82375095413276e-268,"11","Tspan32"
"Sema4d",3.65228705993337e-272,0.458137767279524,0.276,0.001,6.05768331760549e-268,"11","Sema4d"
"Tnfaip3",3.01712105974548e-263,1.56364929512836,0.897,0.016,5.00419698969386e-259,"11","Tnfaip3"
"Tbc1d10c",3.10575875164901e-258,0.562587722074943,0.345,0.002,5.15121146548505e-254,"11","Tbc1d10c"
"Gng2",4.72258222935658e-258,0.60356546675606,0.345,0.002,7.83287488561082e-254,"11","Gng2"
"Tox",2.44118017164582e-253,0.531665673492187,0.31,0.001,4.04894143269176e-249,"11","Tox"
"Plcxd2",3.7177039162342e-238,0.661451707635101,0.276,0.001,6.16618371546605e-234,"11","Plcxd2"
"Fam107b1",5.61256254055209e-237,1.02965335960496,0.517,0.005,9.30899622975969e-233,"11","Fam107b"
"Pglyrp1",2.04092308570773e-230,1.17492504862459,0.414,0.003,3.38507502995484e-226,"11","Pglyrp1"
"Rgs21",3.10600340494347e-219,2.33622921244154,0.897,0.02,5.15161724743924e-215,"11","Rgs2"
"Cyfip2",2.98870650370624e-200,0.54875171673298,0.31,0.002,4.95706860704716e-196,"11","Cyfip2"
"Nfkbid",5.55624915039309e-194,1.35461899918565,0.414,0.004,9.21559484084198e-190,"11","Nfkbid"
"Thy12",3.94145306557914e-189,1.21914883395855,0.517,0.007,6.53729405456956e-185,"11","Thy1"
"Celf21",1.37036079378167e-183,1.18413853419068,0.655,0.012,2.27288041256627e-179,"11","Celf2"
"Ncf2",2.69928153991505e-181,1.02642951198111,0.276,0.002,4.47702836210311e-177,"11","Ncf2"
"Ms4a6b",8.17137922699673e-178,1.38928617632058,0.483,0.006,1.35530495858968e-173,"11","Ms4a6b"
"Dusp2",2.19421874745184e-175,1.94021920699908,0.655,0.013,3.63933121452362e-171,"11","Dusp2"
"Serpina3g",1.12433368435662e-172,0.684510588570325,0.276,0.002,1.86481984887389e-168,"11","Serpina3g"
"Adcy71",1.71933627670052e-172,0.461937426821439,0.276,0.002,2.85169114853548e-168,"11","Adcy7"
"Hsd11b11",1.96005072244829e-168,0.446149892147349,0.345,0.003,3.25094012825274e-164,"11","Hsd11b1"
"Zap70",1.72130779827829e-165,0.595434725198089,0.276,0.002,2.85496111422438e-161,"11","Zap70"
"Ctsc1",3.55921095851409e-165,0.49973401427166,0.31,0.003,5.90330729579147e-161,"11","Ctsc"
"Slamf1",3.38095993525209e-158,0.45813304595438,0.276,0.002,5.60766014860912e-154,"11","Slamf1"
"AI662270",4.71416405649179e-158,0.498054092194842,0.379,0.004,7.81891250409728e-154,"11","AI662270"
"Prkcq",1.64625188829754e-154,0.479787577298654,0.379,0.004,2.7304733819303e-150,"11","Prkcq"
"Snx20",5.74628070733465e-152,0.769913385554797,0.379,0.005,9.53078118118526e-148,"11","Snx20"
"Slc38a1",1.51819199989509e-151,0.419238579057971,0.276,0.002,2.518073251026e-147,"11","Slc38a1"
"Cd27",8.8791991709565e-144,0.880720518615592,0.448,0.007,1.47270397449484e-139,"11","Cd27"
"Neurl31",9.80029235658789e-140,1.38936589827789,0.621,0.015,1.62547649026367e-135,"11","Neurl3"
"Dusp10",1.70186580377268e-137,0.991748885882026,0.379,0.005,2.82271462213737e-133,"11","Dusp10"
"Irs22",1.3841593341376e-129,0.763976872567518,0.414,0.007,2.29576667160063e-125,"11","Irs2"
"Inpp4b1",1.24189976569781e-125,0.688372873080564,0.414,0.007,2.05981495138639e-121,"11","Inpp4b"
"Dusp5",2.26216808149303e-120,1.55947620157361,0.759,0.027,3.75203197996434e-116,"11","Dusp5"
"Pag11",1.18653731489941e-115,0.795333681280252,0.345,0.005,1.96799079049216e-111,"11","Pag1"
"Sept61",3.00636897068056e-113,0.694531731064655,0.345,0.005,4.98636357477077e-109,"11","Sept6"
"Pik3cd",3.18144572329605e-113,0.688203502838936,0.448,0.009,5.27674587665882e-109,"11","Pik3cd"
"Cd247",1.52135910550566e-107,0.654371895938212,0.379,0.007,2.52332621239168e-103,"11","Cd247"
"B4galnt1",9.5743454655512e-107,0.759920343124526,0.414,0.008,1.58800093891632e-102,"11","B4galnt1"
"Cyth4",5.81023954512967e-106,0.531172574659256,0.31,0.005,9.63686330955207e-102,"11","Cyth4"
"Limd2",2.95028772549263e-104,1.25768324485258,0.724,0.028,4.89334722150207e-100,"11","Limd2"
"Sesn31",1.02232148178477e-103,0.73818570718823,0.483,0.012,1.69562240968822e-99,"11","Sesn3"
"Stxbp2",3.31611165853213e-102,0.504187522237839,0.276,0.004,5.50010279684139e-98,"11","Stxbp2"
"Hcls1",1.10492604046447e-99,1.27680649288164,0.724,0.029,1.83263033071438e-95,"11","Hcls1"
"Lcp1",1.27237243882266e-94,1.72359333143944,0.828,0.042,2.11035692703127e-90,"11","Lcp1"
"Dock8",4.51726388665803e-86,0.558718226244403,0.345,0.007,7.49233388241101e-82,"11","Dock8"
"Hopx1",1.57349350585727e-85,1.00694937436002,0.483,0.015,2.60979632881486e-81,"11","Hopx"
"Gramd3",6.15268198823799e-84,0.694174265522359,0.276,0.005,1.02048383456915e-79,"11","Gramd3"
"Unc1191",2.28720591307869e-75,0.444462817326009,0.345,0.008,3.79355972743231e-71,"11","Unc119"
"Fgl23",6.57304265477125e-75,1.20957867972827,0.345,0.009,1.09020485472036e-70,"11","Fgl2"
"Pkp3",9.40535947946483e-74,0.579173294397379,0.276,0.005,1.55997292326404e-69,"11","Pkp3"
"Maf",6.0538827476175e-73,0.789936591507321,0.31,0.007,1.00409699251984e-68,"11","Maf"
"Vps37b",6.02964424517481e-69,2.19425514291226,0.897,0.072,1.00007679450469e-64,"11","Vps37b"
"Rasa32",5.4553147144155e-66,0.722108921191056,0.414,0.015,9.04818498532956e-62,"11","Rasa3"
"Ly6c2",5.54998095027692e-66,1.51985513337798,0.31,0.008,9.2051984041293e-62,"11","Ly6c2"
