"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Wdr1",1.10149651867686e-104,0.396213534774354,0.877,0.662,1.9814820874478e-100,"2","Wdr1"
"Rcn3",1.4393138480909e-104,0.295048055768552,0.775,0.436,2.58918168133073e-100,"2","Rcn3"
"Ednra",6.25004251976323e-104,0.307698492307579,0.47,0.18,1.12432014888021e-99,"2","Ednra"
"Rras",1.78841996875146e-103,0.356718928120789,0.984,0.847,3.21718868178699e-99,"2","Rras"
"Pde4dip",1.93232184179348e-103,0.255072902450267,0.395,0.135,3.47605376120228e-99,"2","Pde4dip"
"AW011738",2.72612628925381e-103,0.343698934961267,0.492,0.209,4.90402858173868e-99,"2","AW011738"
"Purb",2.24046997189163e-102,0.407764564060577,0.976,0.84,4.03038143243585e-98,"2","Purb"
"Coq7",3.80157960179712e-102,0.338902217684311,0.665,0.39,6.83866154567284e-98,"2","Coq7"
"Fgfr1",3.84119848921369e-102,0.366268383807593,0.795,0.535,6.90993196224651e-98,"2","Fgfr1"
"Slc25a23",1.73997968568547e-101,0.272163472692845,0.421,0.159,3.13004945657959e-97,"2","Slc25a23"
"Mtss1l",2.28009245118899e-100,0.344391401187418,0.517,0.241,4.10165831044387e-96,"2","Mtss1l"
"Ndufs6",2.31419455384847e-100,0.323204873648335,0.95,0.791,4.16300458291801e-96,"2","Ndufs6"
"Akr1b3",5.22872462710462e-100,0.372011084435585,0.752,0.496,9.40595273169851e-96,"2","Akr1b3"
"Birc2",1.05247886471463e-99,0.496878926779159,0.671,0.424,1.89330422973515e-95,"2","Birc2"
"Vapa",1.78004717585109e-99,0.360475551929487,0.927,0.758,3.20212686463852e-95,"2","Vapa"
"Ppp1r12c",3.69699563608813e-99,0.360145364728014,0.875,0.659,6.65052544975893e-95,"2","Ppp1r12c"
"Tpi1",4.95349726898109e-99,0.349176820147355,0.916,0.727,8.91084623717009e-95,"2","Tpi1"
"Ngfrap1",8.81897930994521e-99,0.400967782576301,0.828,0.585,1.58644618806604e-94,"2","Ngfrap1"
"Mcl1",1.61211869713605e-98,0.495028302901893,0.971,0.832,2.90004032427805e-94,"2","Mcl1"
"Opa3",2.98170688082643e-98,0.403611408897401,0.503,0.239,5.36379250791866e-94,"2","Opa3"
"Hmgn3",4.30354759803347e-98,0.355484646511489,0.922,0.715,7.74165177410241e-94,"2","Hmgn3"
"Gnb4",4.74578752407596e-98,0.356149614150753,0.718,0.428,8.53719717706024e-94,"2","Gnb4"
"Camk2n1",8.04063662037038e-98,0.376299599399192,0.583,0.289,1.44643012163843e-93,"2","Camk2n1"
"Rabgef1",1.50259473558342e-97,0.419752607532175,0.529,0.267,2.70301766984102e-93,"2","Rabgef1"
"Sox5",7.09175377052522e-96,0.310156987641764,0.434,0.174,1.27573558577978e-91,"2","Sox5"
"Bcas3",6.95572129530464e-95,0.391092198854801,0.551,0.276,1.25126470381235e-90,"2","Bcas3"
"Cwc25",8.55258579825443e-95,0.563468608342975,0.635,0.399,1.53852465924799e-90,"2","Cwc25"
"Pkdcc",1.75265244348639e-94,0.314467908689741,0.447,0.177,3.15284648058767e-90,"2","Pkdcc"
"Afap1",4.45016279587413e-94,0.368783633139797,0.691,0.443,8.00539785349797e-90,"2","Afap1"
"Itpr1",4.77979748711906e-94,0.372287078508025,0.836,0.631,8.59837769957848e-90,"2","Itpr1"
"Prkcd",2.42115202757798e-93,0.325249291281778,0.609,0.337,4.35541038241003e-89,"2","Prkcd"
"Suclg1",3.0332348560621e-93,0.327925419586948,0.882,0.673,5.45648618257011e-89,"2","Suclg1"
"Pdcl3",2.01638441726467e-92,0.348396068263731,0.893,0.724,3.62727392821742e-88,"2","Pdcl3"
"Rab20",4.61101744937004e-92,0.296496089956026,0.321,0.102,8.29475928967177e-88,"2","Rab20"
"Myd88",8.33968069220543e-92,0.406495828154646,0.567,0.313,1.50022515972084e-87,"2","Myd88"
"Aco2",9.41558621816859e-92,0.333924683173393,0.877,0.665,1.69376980478635e-87,"2","Aco2"
"Sec61g",3.49406526945285e-91,0.340721878162813,0.994,0.886,6.28547401321874e-87,"2","Sec61g"
"Unc45a",1.23676462507017e-90,0.315966252299574,0.596,0.334,2.22481588403873e-86,"2","Unc45a"
"Ifrd1",1.26263063779798e-90,0.503022357062495,0.846,0.628,2.27134625433479e-86,"2","Ifrd1"
"Nrep",1.34285414966223e-89,0.368537127160246,0.93,0.721,2.41566032982739e-85,"2","Nrep"
"Sspn",3.73874461149254e-89,0.280943723553372,0.477,0.212,6.72562768161392e-85,"2","Sspn"
"Nfil3",9.53269620270726e-89,0.37036715745817,0.586,0.319,1.71483671990501e-84,"2","Nfil3"
"Cabp1",1.05632041976927e-88,0.286644561121192,0.49,0.224,1.90021480312294e-84,"2","Cabp1"
"Dffb",1.70236895035588e-88,0.508727312270957,0.35,0.127,3.06239150479519e-84,"2","Dffb"
"Pla2g16",2.04434635034093e-88,0.300876891569541,0.691,0.412,3.6775746496283e-84,"2","Pla2g16"
"Filip1",2.05085185713102e-88,0.389185122789496,0.787,0.553,3.68927740579299e-84,"2","Filip1"
"Mical1",3.33461566822515e-88,0.301721298561331,0.537,0.272,5.99864012557023e-84,"2","Mical1"
"Eif1ax",3.77859420108905e-88,0.328309257088957,0.857,0.651,6.79731310833909e-84,"2","Eif1ax"
"Jund",1.18283091416012e-87,0.364283811122931,1,0.938,2.12779453148264e-83,"2","Jund"
"Siah2",7.73164341791924e-87,0.554525965954278,0.565,0.322,1.39084533444949e-82,"2","Siah2"
"Atp5f1",2.1250482886856e-86,0.267284556942963,0.992,0.883,3.82274936651653e-82,"2","Atp5f1"
"Dpysl3",1.80818374254565e-85,0.310358934442027,0.588,0.31,3.25274173446536e-81,"2","Dpysl3"
"Dtx3",2.75942055831536e-85,0.338265919187825,0.736,0.478,4.9639216423535e-81,"2","Dtx3"
"Fam104a",7.0356323752383e-85,0.428729282753051,0.869,0.697,1.26563990798162e-80,"2","Fam104a"
"Il1r1",1.18020154187668e-84,0.269586416917032,0.433,0.185,2.12306455368196e-80,"2","Il1r1"
"Unc119",1.22532489477762e-84,0.285726170958403,0.396,0.158,2.20423695321546e-80,"2","Unc119"
"Ndufv2",1.22942480442734e-84,0.299041268673747,0.928,0.766,2.21161228068433e-80,"2","Ndufv2"
"Ppfibp2",1.36367037563433e-84,0.259015743063481,0.358,0.131,2.45310663872859e-80,"2","Ppfibp2"
"Ebf2",1.54422584314972e-84,0.281168107803007,0.404,0.161,2.77790786924204e-80,"2","Ebf2"
"Chmp4b",7.68506804310195e-84,0.317096804850113,0.936,0.756,1.38246689027361e-79,"2","Chmp4b"
"Eno1",2.33448143608969e-83,0.336392496335861,0.846,0.645,4.19949865538175e-79,"2","Eno1"
"Slc9a3r1",2.85014951520769e-83,0.441742337017318,0.568,0.334,5.12713396290711e-79,"2","Slc9a3r1"
