"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pex5l",3.7903926246655e-20,0.501994465074573,0.333,0.007,6.99062111767057e-16,"16","Pex5l"
"Adamts20",6.10257611840228e-20,0.489280014838603,0.333,0.007,1.12549811351693e-15,"16","Adamts20"
"Abca8b1",1.27016308842179e-19,1.56999206511195,1,0.069,2.3425617839763e-15,"16","Abca8b"
"Pdlim41",3.88091278764004e-19,1.79334686534008,0.833,0.049,7.15756745424452e-15,"16","Pdlim4"
"Camk2b",6.71146272119876e-19,0.887515759052402,0.333,0.007,1.23779506967069e-14,"16","Camk2b"
"Slc22a23",8.38583845274806e-19,0.502111832937057,0.333,0.007,1.54660018584032e-14,"16","Slc22a23"
"D130017N08Rik",1.00170478104596e-18,0.519232103559272,0.333,0.007,1.84744412768306e-14,"16","D130017N08Rik"
"Scn7a2",7.20235759460461e-18,2.51338042272986,1,0.082,1.32833081117293e-13,"16","Scn7a"
"Amph",9.03955488793434e-18,0.70250735300628,0.333,0.008,1.66716510798173e-13,"16","Amph"
"Alcam",1.21961041559781e-17,1.3351078512727,0.833,0.053,2.24932748948704e-13,"16","Alcam"
"Gas72",1.2410781869897e-17,1.58656755142072,1,0.079,2.2889205002651e-13,"16","Gas7"
"Mbp1",1.09321685503957e-16,0.522077417685015,0.333,0.008,2.01621984574949e-12,"16","Mbp"
"Nlgn3",1.32975548143243e-16,0.490794287375907,0.333,0.008,2.45246803440584e-12,"16","Nlgn3"
"Ephb6",8.97955406152996e-16,0.509181706273485,0.333,0.009,1.65609915556797e-11,"16","Ephb6"
"Lrrn2",1.92771266477986e-15,1.12500847988381,0.667,0.038,3.5552804676535e-11,"16","Lrrn2"
"Ttyh1",4.79468466311728e-15,0.695821462865306,0.333,0.009,8.8428369241872e-11,"16","Ttyh1"
"Plxna3",5.14333157582459e-15,0.494966143097353,0.333,0.009,9.48584642529328e-11,"16","Plxna3"
"P2ry1",5.51690694959068e-15,0.505348851708557,0.333,0.009,1.01748314871301e-10,"16","P2ry1"
"Gpt2",6.80532789419796e-15,0.449798384455816,0.333,0.009,1.25510662352693e-10,"16","Gpt2"
"Dpysl4",2.648131602863e-14,0.608705737718653,0.333,0.01,4.88394911516023e-10,"16","Dpysl4"
"Metrn",3.85603180370143e-14,1.46729725377223,0.833,0.07,7.11167945556655e-10,"16","Metrn"
"Ncam15",4.12749294635909e-14,1.55180188817727,1,0.1,7.61233524097007e-10,"16","Ncam1"
"Adgrl3",5.80970084549156e-14,0.839977433294303,0.667,0.041,1.07148312693401e-09,"16","Adgrl3"
"Dnajc12",1.02850838431217e-13,0.670575250985076,0.333,0.01,1.89687801318693e-09,"16","Dnajc12"
"Tst2",1.47100790209068e-13,0.918717767002319,0.833,0.069,2.71297987382585e-09,"16","Tst"
"Proser3",1.70655507785246e-13,0.424931693649784,0.333,0.01,3.1473995300833e-09,"16","Proser3"
"Gfra1",1.85884888927326e-13,0.626943271562129,0.5,0.024,3.42827500648668e-09,"16","Gfra1"
"Fbxo7",2.41103095348966e-13,1.21249114055519,0.667,0.046,4.44666438752098e-09,"16","Fbxo7"
"P2rx7",3.75559753026076e-13,0.583446452305578,0.333,0.011,6.92644852505991e-09,"16","P2rx7"
"Nkd2",4.53567145646162e-13,1.01957522934593,0.5,0.025,8.36513886715217e-09,"16","Nkd2"
"Col25a1",5.08389176171745e-13,0.649852436493701,0.333,0.011,9.37622157613549e-09,"16","Col25a1"
"A930004D18Rik",2.124570204417e-12,0.448248752640183,0.333,0.012,3.91834482800627e-08,"16","A930004D18Rik"
"Olfml2a1",2.25659734291805e-12,1.50606738796462,0.833,0.08,4.16184247954376e-08,"16","Olfml2a"
"Agpat1",3.57756589308228e-12,0.683729815941008,0.667,0.048,6.59810477661164e-08,"16","Agpat1"
"Acot1",6.22766200651781e-12,1.38201242943972,0.833,0.086,1.14856770386208e-07,"16","Acot1"
"Bach2",7.89289387134001e-12,0.896674953913484,0.833,0.077,1.45568641669124e-07,"16","Bach2"
"Hist3h2ba",1.09849883788066e-11,0.670240124780713,0.333,0.013,2.02596140670331e-07,"16","Hist3h2ba"
"Ntng1",1.15878038276637e-11,0.91615985116567,0.333,0.013,2.13713865993601e-07,"16","Ntng1"
"Gpm6b4",1.16923898448818e-11,2.10841224634263,1,0.141,2.15642745909155e-07,"16","Gpm6b"
"Pecr",1.30873650975037e-11,0.597720294900751,0.5,0.029,2.41370274493261e-07,"16","Pecr"
