"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cyb5a1",2.29207839181187e-45,0.302288295197197,0.973,0.82,4.22728017801864e-41,"5","Cyb5a"
"Pgrmc1",2.77635197671742e-45,0.303729222192304,0.907,0.638,5.12042595065994e-41,"5","Pgrmc1"
"Zfand6",5.8921852013612e-44,0.267516581112632,0.862,0.569,1.08669571668705e-39,"5","Zfand6"
"Anxa11",8.84325997635427e-44,0.327103730022713,0.944,0.674,1.63096243743902e-39,"5","Anxa1"
"Cd471",1.26442071011686e-43,0.272626369547479,0.963,0.739,2.33197111566853e-39,"5","Cd47"
"Arid4b",1.73238204016623e-43,0.251636824077603,0.85,0.534,3.19503219667858e-39,"5","Arid4b"
"Ptp4a2",1.94086768184042e-42,0.303900887510138,0.965,0.822,3.57954226561829e-38,"5","Ptp4a2"
"Mast4",3.13540863028371e-42,0.269312593624181,0.922,0.668,5.78263413683224e-38,"5","Mast4"
"Maged1",7.63454905841601e-42,0.288326287449133,0.973,0.765,1.40803988284367e-37,"5","Maged1"
"Cpe1",1.61778938697622e-41,0.332332002077979,0.922,0.629,2.98368896640024e-37,"5","Cpe"
"Sod2",6.13238314179564e-41,0.276149315501594,0.85,0.592,1.13099542284137e-36,"5","Sod2"
"Uap1",3.01298365344337e-40,0.548681570147202,0.612,0.351,5.55684575204561e-36,"5","Uap1"
"Clic41",1.608816042288e-39,0.37110460250961,0.926,0.703,2.96713942679175e-35,"5","Clic4"
"Ifi271",2.89858556841371e-39,0.288222270850274,0.895,0.635,5.34586136382541e-35,"5","Ifi27"
"Nenf1",3.10867751659373e-39,0.271783936214641,0.99,0.889,5.73333394385382e-35,"5","Nenf"
"Psme2",3.6957165600626e-39,0.250352942819881,0.874,0.623,6.81601005172345e-35,"5","Psme2"
"Rpl22l1",7.33177747543616e-39,0.254118218880714,0.994,0.942,1.35219971979469e-34,"5","Rpl22l1"
"Hip1",7.36166853153585e-38,0.256576254274114,0.664,0.372,1.35771252727116e-33,"5","Hip1"
"Ltbp32",8.55513147109745e-38,0.252536388260615,0.895,0.563,1.5778228972145e-33,"5","Ltbp3"
"Ssr3",1.47628573039014e-37,0.253342048330817,0.961,0.773,2.72271377255853e-33,"5","Ssr3"
"Elovl1",2.88421326908764e-37,0.278408095857679,0.775,0.482,5.31935453217834e-33,"5","Elovl1"
"Peg32",3.43813676906364e-37,0.309802453486401,0.905,0.642,6.34095564318406e-33,"5","Peg3"
"Rap2a",3.65516892302727e-37,0.258268765472263,0.765,0.445,6.74122804473919e-33,"5","Rap2a"
