"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Yes1",0.0022789795211829,0.805256675094398,0.75,0.181,1,"4","Yes1"
"Gak",0.00229774079133735,0.932930441361498,0.5,0.092,1,"4","Gak"
"Slc12a2",0.00232096263264053,0.924451179414638,0.5,0.09,1,"4","Slc12a2"
"Tmem176a2",0.00235128320763653,0.833978806914095,0.75,0.201,1,"4","Tmem176a"
"Cyb5r1",0.00241368354013731,0.69276343332583,0.5,0.083,1,"4","Cyb5r1"
"Lpl",0.0024144131193147,0.655277931662909,0.75,0.171,1,"4","Lpl"
"Rab11fip5",0.0024565042272177,0.692551385586487,0.5,0.082,1,"4","Rab11fip5"
"Fam195b",0.00247740232777133,0.694676662760666,1,0.339,1,"4","Fam195b"
"Lrrc8c1",0.00249007183272766,0.867288901076732,0.75,0.207,1,"4","Lrrc8c"
"Mtmr3",0.00257479214331685,0.854072512828665,0.5,0.092,1,"4","Mtmr3"
"Atp7a",0.00258622238838458,0.68441914263887,0.5,0.083,1,"4","Atp7a"
"Foxo12",0.00261001883700448,0.734404418832664,0.75,0.178,1,"4","Foxo1"
"Rgs51",0.00262894856593077,1.83669098512484,0.75,0.222,1,"4","Rgs5"
"Tob21",0.0026770862098523,1.29220638331696,0.75,0.195,1,"4","Tob2"
"Lats1",0.0026877950050424,0.801075898386989,0.5,0.091,1,"4","Lats1"
"Kif26a1",0.00269494295909441,0.943049018691243,0.75,0.187,1,"4","Kif26a"
"H2afx",0.00274452003376303,0.68079427101978,0.5,0.084,1,"4","H2afx"
"Ube2q11",0.00275325871281843,0.814269850839773,0.75,0.191,1,"4","Ube2q1"
"Abcc9",0.00291973350715436,0.7767447666893,0.5,0.089,1,"4","Abcc9"
"Tspan41",0.00292608279082147,1.26330177202312,0.75,0.206,1,"4","Tspan4"
"Nt5c2",0.00300105561011297,0.885722053179274,0.5,0.095,1,"4","Nt5c2"
"Arl6ip6",0.0030696659837835,0.827910118604553,0.5,0.095,1,"4","Arl6ip6"
"Myh111",0.00308375777516539,0.663212575144599,1,0.246,1,"4","Myh11"
"Tbc1d10a1",0.00309474362741771,0.69010179754379,0.5,0.086,1,"4","Tbc1d10a"
"Phlda1",0.00313531652481112,0.44445052996286,0.5,0.082,1,"4","Phlda1"
"Ero1l",0.00314486556052876,0.678109139671074,0.5,0.088,1,"4","Ero1l"
"Snhg9",0.00352791470006157,0.666563196151292,0.5,0.088,1,"4","Snhg9"
"Pkd1",0.00363588723082624,0.940141665202509,0.75,0.226,1,"4","Pkd1"
"Nfia",0.00385415277743537,0.822197262723708,1,0.471,1,"4","Nfia"
"Pde4b1",0.00385495029249023,0.984394755635313,0.75,0.2,1,"4","Pde4b"
"Magi1",0.00394209599706306,0.883973613645916,0.5,0.099,1,"4","Magi1"
"Laptm4b",0.00396078049384188,0.671565395282482,0.5,0.09,1,"4","Laptm4b"
"Tnfrsf12a",0.00396820961608953,0.794408187363023,0.5,0.098,1,"4","Tnfrsf12a"
"Adgrl41",0.00417384356304457,0.689318900233299,0.75,0.183,1,"4","Adgrl4"
"Nfatc1",0.0042182422103082,0.571813508640054,0.5,0.09,1,"4","Nfatc1"
"Arhgap312",0.0042196514592462,0.752102632117286,1,0.4,1,"4","Arhgap31"
"Bag6",0.00431012449829516,0.733543679416003,0.75,0.205,1,"4","Bag6"
"Chd9",0.00458321713972003,0.85571847891982,0.5,0.101,1,"4","Chd9"
"Nolc1",0.00458344855711956,0.847666819589232,0.5,0.103,1,"4","Nolc1"
"Anxa7",0.00459706062038108,0.73412292086269,0.75,0.203,1,"4","Anxa7"
"Zkscan1",0.00465610875359141,0.717156390046487,0.5,0.092,1,"4","Zkscan1"
"Fbxl5",0.00492617870095091,0.62685344506306,0.5,0.092,1,"4","Fbxl5"
"Rapgef11",0.00497136835458146,0.720689834623589,0.75,0.197,1,"4","Rapgef1"
"Rb1cc1",0.00502968970101184,1.04409775337767,0.75,0.26,1,"4","Rb1cc1"
"Mif1",0.00507379032204249,0.928990276573512,1,0.377,1,"4","Mif"
"Rap1a1",0.00513174885534687,0.757901749435448,1,0.441,1,"4","Rap1a"
"Zbtb8os",0.00516474887061976,0.628478877591496,0.5,0.095,1,"4","Zbtb8os"
"Rasl11a1",0.00533676806570044,0.635888697365362,0.75,0.187,1,"4","Rasl11a"
"Clpx",0.0055116503067486,0.602571640554473,0.5,0.096,1,"4","Clpx"
"Nck2",0.00558748960937625,0.739784757935435,0.5,0.105,1,"4","Nck2"
"Dhx9",0.00574611267036767,0.706220357290169,0.75,0.208,1,"4","Dhx9"
"Tial1",0.00579268109644132,0.994346965937069,0.75,0.222,1,"4","Tial1"
"Msmo11",0.00588266163719991,0.771791300755984,0.5,0.104,1,"4","Msmo1"
"4931406P16Rik1",0.00600600827197318,0.776582449547931,1,0.444,1,"4","4931406P16Rik"
"Map3k7",0.00603838723992477,0.712555070624531,0.5,0.104,1,"4","Map3k7"
"4932438A13Rik",0.00607630528613464,0.722325699350253,0.75,0.209,1,"4","4932438A13Rik"
"Tesk1",0.00609541663335362,0.915009325363957,0.5,0.112,1,"4","Tesk1"
"Tiparp2",0.00628376341023201,0.648731797447916,0.75,0.2,1,"4","Tiparp"
"Ssh2",0.00631298543051761,0.554049015063091,0.5,0.096,1,"4","Ssh2"
"Lhfp1",0.00633816328338806,0.576533935042292,0.75,0.188,1,"4","Lhfp"
"Zc2hc1a",0.0064702495727049,0.601809060912516,0.5,0.099,1,"4","Zc2hc1a"
"Pafah1b2",0.00660823554158556,0.697707683407584,0.75,0.221,1,"4","Pafah1b2"
"Bola1",0.00663505147489227,0.784148340205141,0.5,0.11,1,"4","Bola1"
"Tjp2",0.0067268325275656,0.891054261148553,0.5,0.098,1,"4","Tjp2"
"Gucy1a31",0.00673562663973074,1.20551856489713,0.75,0.245,1,"4","Gucy1a3"
"Rlim1",0.00682685253668212,1.18742686910236,0.75,0.224,1,"4","Rlim"
"Mark11",0.00686493419429929,1.13634265546311,0.5,0.111,1,"4","Mark1"
"Jak1",0.00686884641506693,1.07382410153516,0.75,0.279,1,"4","Jak1"
"Sqstm1",0.00687163118816621,0.698163087655099,0.75,0.253,1,"4","Sqstm1"
"Zfand51",0.00695954449515117,0.877013492219179,1,0.473,1,"4","Zfand5"
"Ndufc2",0.0071051566750858,0.778107164307928,1,0.52,1,"4","Ndufc2"
"Plat2",0.00712679979467596,0.884922595454149,0.75,0.24,1,"4","Plat"
"Trak2",0.00753579545182524,0.680265917530342,0.5,0.101,1,"4","Trak2"
"Sort11",0.00797902716683711,1.08275651225733,0.5,0.119,1,"4","Sort1"
"Myzap",0.00799112350625387,0.645967256452837,0.5,0.1,1,"4","Myzap"
"Dennd3",0.00804390968385321,0.60897801990835,0.5,0.098,1,"4","Dennd3"
"Tanc11",0.00810237485054774,0.744060863677005,0.75,0.25,1,"4","Tanc1"
"Rgs7bp1",0.00819693456622104,0.871403401193198,0.5,0.116,1,"4","Rgs7bp"
"Polr3gl",0.00820437145425014,0.580264208306285,0.5,0.102,1,"4","Polr3gl"
"Pdcl",0.00826578300500595,0.591859381402185,0.5,0.1,1,"4","Pdcl"
"Lyn",0.00827140198875066,0.795590042760532,0.5,0.112,1,"4","Lyn"
"Itga62",0.00832228892480468,0.636524592237162,0.75,0.21,1,"4","Itga6"
"Fgfr1op2",0.00833875105856248,0.984601749193789,0.75,0.243,1,"4","Fgfr1op2"
"Plekha3",0.00847148514002706,0.6554563898032,0.5,0.104,1,"4","Plekha3"
"Tshz2",0.00865613591755385,0.876018172380221,0.5,0.115,1,"4","Tshz2"
"Bckdk",0.00902117800970892,0.796056359054345,0.5,0.118,1,"4","Bckdk"
"Fam126a",0.00904800322686092,0.862677074442411,0.5,0.118,1,"4","Fam126a"
"Gimap6",0.00908584088427115,0.888525510277182,0.75,0.223,1,"4","Gimap6"
"Lyar",0.00912325951005705,0.650432803253962,0.5,0.105,1,"4","Lyar"
"Snx17",0.0092519799158067,0.739252615385115,0.75,0.242,1,"4","Snx17"
"Socs32",0.00951215032895422,1.22569162754253,1,0.348,1,"4","Socs3"
"Actn11",0.00975499330277911,0.49794919050105,1,0.307,1,"4","Actn1"
"Mtss1",0.0097812665148533,0.836631993360676,0.5,0.118,1,"4","Mtss1"
"Man2a1",0.00990877403812336,0.630389245248043,0.5,0.105,1,"4","Man2a1"
"Vdac21",0.00997923300745083,0.891273457056432,1,0.49,1,"4","Vdac2"
"Mageh1",0.00998194594795626,0.800854646368654,0.5,0.122,1,"4","Mageh1"
"Sgk11",1.10210478987119e-67,1.83178263999491,0.935,0.238,1.98257630649928e-63,"5","Sgk1"
"Pim31",1.04427317376423e-66,1.58923353525992,0.849,0.178,1.87854301228448e-62,"5","Pim3"
"Cdkn1a2",1.98735201535751e-62,1.40121424749591,0.946,0.231,3.57504754042663e-58,"5","Cdkn1a"
"Socs33",6.14764736597824e-57,1.58881873921263,0.978,0.317,1.10590028466582e-52,"5","Socs3"
