"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tomm20",2.7225715141838e-266,0.306491706405086,0.101,0.699,4.92159252619006e-262,"2","Tomm20"
"Arpc5",5.59234025503692e-263,0.293082622803409,0.089,0.669,1.01092734790302e-258,"2","Arpc5"
"Ndufa8",3.14033598214429e-262,0.323144086229926,0.091,0.671,5.67678535492223e-258,"2","Ndufa8"
"Fis1",3.88189149939154e-262,0.303251821376754,0.125,0.745,7.0172952634501e-258,"2","Fis1"
"Gnb1",8.01883982170829e-262,0.28080475838983,0.128,0.751,1.44956567457021e-257,"2","Gnb1"
"Srrm1",2.88910516794576e-261,0.259637518357805,0.077,0.642,5.22263541209554e-257,"2","Srrm1"
"Rsrc2",3.8597003649657e-261,0.25187816176029,0.069,0.625,6.97718034974849e-257,"2","Rsrc2"
"Ddx3x",5.05516928477406e-261,0.281310775227406,0.105,0.701,9.13822951608607e-257,"2","Ddx3x"
"Rab11b",1.27420827801456e-259,0.315087005506541,0.066,0.618,2.30338630416692e-255,"2","Rab11b"
"Mprip",1.32255248218358e-257,0.299189207563925,0.09,0.664,2.39077812204327e-253,"2","Mprip"
