"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pole",0,0.470780613527993,0.6,0.004,0,"12","Pole"
"Kif20a",0,0.466795313677269,0.45,0.001,0,"12","Kif20a"
"Spag5",0,0.465483250268455,0.5,0,0,"12","Spag5"
"Kif15",0,0.458699619095676,0.45,0.001,0,"12","Kif15"
"Ccnf",0,0.449003024195465,0.35,0.001,0,"12","Ccnf"
"Hist1h3c",0,0.412127477942635,0.35,0.001,0,"12","Hist1h3c"
"Hist1h2ab",0,0.405126393874342,0.4,0.001,0,"12","Hist1h2ab"
"Melk",0,0.363769332339403,0.35,0,0,"12","Melk"
"E2f8",0,0.361548214119019,0.35,0,0,"12","E2f8"
"Ska3",0,0.359267311648292,0.35,0,0,"12","Ska3"
"Pask",0,0.355250662173403,0.45,0.002,0,"12","Pask"
"Stil",0,0.347038193667095,0.45,0,0,"12","Stil"
"Arhgef39",0,0.338869901077261,0.35,0,0,"12","Arhgef39"
"Kif18b",0,0.309941234034274,0.3,0,0,"12","Kif18b"
"Kif14",0,0.306115738253805,0.3,0,0,"12","Kif14"
"Lrr1",0,0.25305362979316,0.3,0,0,"12","Lrr1"
"Prr11",1.11339976298876e-307,0.574999119997878,0.45,0.002,1.84668484689316e-303,"12","Prr11"
"Rad51",6.06183607806788e-305,0.79811526446832,0.65,0.005,1.00541613190834e-300,"12","Rad51"
"Lockd",6.25094804916983e-305,1.25499376410211,0.7,0.006,1.03678224343531e-300,"12","Lockd"
"Sgol2a",4.89464817055819e-299,0.825298101763721,0.6,0.004,8.11826345568781e-295,"12","Sgol2a"
"C330027C09Rik",7.05350731534839e-298,0.564038453993558,0.6,0.004,1.16989472332368e-293,"12","C330027C09Rik"
"Ncaph",7.23508811293686e-298,0.611731421808804,0.7,0.006,1.20001171441171e-293,"12","Ncaph"
"Ccnb1",3.40983513609273e-297,0.815342653734309,0.45,0.002,5.6555525567234e-293,"12","Ccnb1"
"Brca1",1.06838030952253e-289,0.52879938656241,0.5,0.003,1.77201558137407e-285,"12","Brca1"
"2810417H13Rik",1.08068952389753e-284,1.49014725630137,0.8,0.008,1.79243164433644e-280,"12","2810417H13Rik"
